priority_rank,school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,size_band,severity_score,trend_decline_score,recoverability_score,priority_score,priority_category,gpa_slope,pass_rate_slope,similar_school_count,evidence_years,first_year,data_quality
5519,S0330,MBEYA SECONDARY SCHOOL,MBEYA,2025,1.9759,100.0,219.0,Very Large,12.19875,0.0,100.0,26.099375000000002,Low,-0.34033000000000607,1.3542106214961809,856,10,2016,Complete
5520,S0196,ST. THOMAS MORE KIBOGORA SECONDARY SCHOOL,KIGOMA,2025,2.1679,100.0,64.0,Medium,14.598749999999999,0.0,93.91258318209317,26.081891636418632,Low,-0.0535100000000037,4.256661309384458e-15,862,10,2016,Complete
5521,S0589,NYABIHORE SECONDARY SCHOOL,MARA,2025,1.9721,100.0,81.0,Large,12.15125,0.0,100.0,26.075625,Low,-0.10100000000000041,0.34090909090917165,862,10,2016,Complete
5522,S4516,ST. JAMES KIGOMA SECONDARY SCHOOL,KIGOMA,2025,2.7506,100.0,25.0,Small,21.8825,0.0,75.64102564102569,26.06945512820514,Low,-0.07781000000000886,4.256661309384458e-15,965,10,2016,Complete
5523,S1857,ENYORRATA E-NGAI SECONDARY SCHOOL,ARUSHA,2025,2.1628,100.0,43.0,Medium,14.534999999999998,0.0,93.91258318209317,26.050016636418633,Low,-0.030499999999989407,4.256661309384458e-15,862,10,2016,Complete
5524,S5958,MARY QUEEN OF PEACE GIRLS' SECONDARY SCHOOL,GEITA,2025,2.1585,100.0,47.0,Medium,14.481250000000001,0.0,93.91258318209317,26.023141636418636,Low,-0.08294999999997994,1.7530813908894377e-15,862,3,2023,Limited trend history
5525,S0687,KIKATITI SECONDARY SCHOOL,ARUSHA,2025,2.7397,100.0,38.0,Small,21.74625,0.0,75.64102564102569,26.00133012820514,Low,-0.22179000000001453,0.9053273427473024,965,10,2016,Complete
5526,S1294,MSANGANI SECONDARY SCHOOL,PWANI,2025,2.7375,100.0,24.0,Small,21.718749999999996,0.0,75.64102564102569,25.98758012820514,Low,-0.04381000000000387,0.2941176470589033,965,6,2020,Complete
5527,S4748,KING'S VISION SECONDARY SCHOOL,DAR ES SALAAM,2025,2.7372,100.0,34.0,Small,21.715,0.0,75.64102564102569,25.98570512820514,Low,-0.10879000000000519,2.4059139784946644,965,10,2016,Complete
5528,S6696,AMMAR SECONDARY SCHOOL,DODOMA,2025,2.7366,100.0,13.0,Small,21.707500000000003,0.0,75.64102564102569,25.98195512820514,Low,,,965,1,2025,Insufficient trend history
5529,S0108,IFUNDA TECHNICAL SECONDARY SCHOOL,IRINGA,2025,1.9567,100.0,182.0,Very Large,11.958750000000002,0.0,100.0,25.979375,Low,-0.04609000000000114,0.05847953216375493,856,10,2016,Complete
5530,S5326,KIUMAKO SECONDARY SCHOOL,KILIMANJARO,2025,2.7358,100.0,28.0,Small,21.697499999999998,0.0,75.64102564102569,25.976955128205137,Low,-0.20537000000000247,4.256661309384458e-15,965,8,2018,Complete
5531,S1403,COLAND SECONDARY SCHOOL,RUVUMA,2024,2.7357,100.0,23.0,Small,21.69625,0.0,75.64102564102569,25.976330128205138,Low,-0.24584999999996432,1.1011116663986814e-14,965,9,2016,Complete
5532,S1571,BUSEKO HILL SECONDARY SCHOOL,KIGOMA,2025,2.7336,100.0,30.0,Small,21.67,0.0,75.64102564102569,25.96320512820514,Low,-0.02094000000000459,4.256661309384458e-15,965,10,2016,Complete
5533,S0723,BOLOTI SECONDARY SCHOOL,KILIMANJARO,2025,2.1487,100.0,44.0,Medium,14.358749999999997,0.0,93.91258318209317,25.961891636418635,Low,-0.14917000000000666,4.256661309384458e-15,862,9,2016,Complete
5534,S6524,ILININDA SECONDARY SCHOOL,NJOMBE,2025,2.7327,100.0,26.0,Small,21.658749999999998,0.0,75.64102564102569,25.957580128205137,Low,,,965,1,2025,Insufficient trend history
5535,S4937,SERENGETI NURU SECONDARY SCHOOL,MARA,2025,2.7324,100.0,25.0,Small,21.655,0.0,75.64102564102569,25.95570512820514,Low,-0.05279000000001502,4.256661309384458e-15,965,10,2016,Complete
5536,S4423,ST. FRANCIS XAVIER SECONDARY SCHOOL,KIGOMA,2025,1.951,100.0,80.0,Large,11.887500000000001,0.0,100.0,25.94375,Low,-0.037680000000000866,4.256661309384458e-15,862,10,2016,Complete
5537,S0207,KIRAENI GIRLS' SECONDARY SCHOOL,KILIMANJARO,2025,1.9504,100.0,72.0,Large,11.879999999999999,0.0,100.0,25.939999999999998,Low,-0.18638000000000682,4.256661309384458e-15,862,9,2017,Complete
5538,S0335,MZIZIMA SECONDARY SCHOOL,DAR ES SALAAM,2025,2.7288,100.0,33.0,Small,21.610000000000003,0.0,75.64102564102569,25.933205128205138,Low,-0.1235500000000034,4.256661309384458e-15,965,10,2016,Complete
5539,S5544,KING COSTANTINO SECONDARY SCHOOL,SINGIDA,2025,2.7279,100.0,6.0,Small,21.59875,0.0,75.64102564102569,25.927580128205136,Low,,,965,1,2025,Insufficient trend history
5540,S4982,PROSPERITY SECONDARY SCHOOL,MWANZA,2025,1.9144,97.95918367346938,49.0,Medium,12.45040816326531,3.061224489796108,93.91258318209317,25.92608806499012,Low,-0.5620300000000212,-0.6122448979592215,862,10,2016,Complete
