school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,pass_rate_decline_score,subject_failure_score,trend_instability_score,risk_score,risk_level,pass_rate_slope,subject_failure_rate,subject_count,evidence_years,data_quality
S5090,KAKUBILO SECONDARY SCHOOL,GEITA,2025,3.1861,100.0,236.0,0.0,14.723926380368098,70.37502131638674,25.52968430902645,Safe,6.129736851620948,14.723926380368098,10,10,Complete
S0881,MANGA SECONDARY SCHOOL,MARA,2025,3.5815,100.0,133.0,0.0,21.159715157680566,63.89778995419535,25.517251533562778,Safe,3.1262649827552766,21.159715157680566,9,10,Complete
S4448,SIKIRARI SECONDARY SCHOOL,KILIMANJARO,2025,3.6032,100.0,145.0,0.0,15.555555555555557,69.50007548703336,25.516689312776673,Safe,7.428562768988454,15.555555555555557,10,10,Complete
S1650,CHUNYU SECONDARY SCHOOL,DODOMA,2025,3.1943,100.0,52.0,0.0,9.158415841584159,75.86210121926598,25.50615511825504,Safe,2.506624271330097,9.158415841584159,9,10,Complete
S3523,SAJA SECONDARY SCHOOL,NJOMBE,2025,3.7315,98.76543209876543,81.0,0.0,35.65768621236133,49.34293070591252,25.500185075482154,Safe,0.28273371410637305,35.65768621236133,10,10,Complete
S1342,AMBASSADOR SECONDARY SCHOOL,DAR ES SALAAM,2025,2.7301,100.0,42.0,0.0,6.830601092896174,78.16748335847561,25.499425335411534,Safe,4.256661309384458e-15,6.830601092896174,10,8,Complete
S1275,NYERERE MEMORIAL SECONDARY SCHOOL,TANGA,2025,3.4667,98.62068965517241,290.0,0.0,18.371789290378757,66.61752686609282,25.496794846941473,Safe,7.091294962493217,18.371789290378757,14,10,Complete
S3795,YEMEN SECONDARY SCHOOL,DAR ES SALAAM,2025,2.3686,98.30508474576271,59.0,16.989507667473767,5.75539568345323,56.572303152248566,25.494112717700045,Safe,-1.6989507667473767,5.75539568345323,14,10,Complete
S1244,MOYOWOSI SECONDARY SCHOOL,KIGOMA,2025,3.527,98.96907216494846,97.0,0.0,28.236744759556103,56.73046979049401,25.490164365015033,Safe,6.352175806127232,28.236744759556103,10,10,Complete
S2031,KISASA SECONDARY SCHOOL,DODOMA,2025,3.7178,94.11764705882352,170.0,0.0,34.21262989608313,50.736374677995684,25.484701372223643,Safe,2.9509726420216884,34.21262989608313,11,10,Complete
S5439,VIBAONI SECONDARY SCHOOL,TANGA,2025,3.6737,100.0,22.0,0.0,24.858757062146893,60.03071115889336,25.466840466312078,Safe,4.256661309384458e-15,24.858757062146893,9,8,Complete
S3414,MASEKELO SECONDARY SCHOOL,SHINYANGA,2025,3.2081,100.0,147.0,0.0,11.745513866231647,73.12333427229638,25.460654441558408,Safe,2.6449096880136485,11.745513866231647,10,10,Complete
S2632,NYALUSI SECONDARY SCHOOL,PWANI,2025,2.5625,100.0,20.0,0.0,6.875,77.98626607621833,25.4583798228655,Safe,33.25000000000189,6.875,9,10,Complete
S3356,FUNDIKIRA SECONDARY SCHOOL,TABORA,2025,3.4899,98.46153846153847,130.0,0.0,20.863309352517987,63.99714348004362,25.45813584976848,Safe,7.439415655982274,20.863309352517987,10,10,Complete
S4366,NYAMIYAGA SECONDARY SCHOOL,KAGERA,2025,3.1974,98.61111111111111,72.0,0.0,15.604026845637591,69.25406307193327,25.45742697527126,Safe,1.1333290121857023,15.604026845637591,10,10,Complete
S2866,MASAKI SECONDARY SCHOOL,PWANI,2025,3.9527,84.88372093023256,86.0,0.0,44.51127819548872,40.34034840029622,25.455487978735484,Safe,3.346295649013512,44.51127819548872,10,10,Complete
S2121,LUHUNGA SECONDARY SCHOOL,IRINGA,2025,4.056,87.64044943820225,89.0,0.0,46.35958395245171,38.451572664611646,25.443346985119007,Safe,5.084384338303403,46.35958395245171,9,10,Complete
S5531,LYAHIRA SECONDARY SCHOOL,MOROGORO,2025,4.0631,97.97297297297297,148.0,0.0,41.399662731871835,43.374709730496264,25.432311738710432,Safe,1.0996383707650574,41.399662731871835,11,7,Complete
S4187,CHONA SECONDARY SCHOOL,SHINYANGA,2025,3.7493,97.22222222222221,72.0,14.644328779006596,27.70642201834862,37.53697448578204,25.430750462841836,Safe,-1.4644328779006597,27.70642201834862,9,10,Complete
S0280,UMMU-SALAMA SECONDARY SCHOOL,PWANI,2025,3.2223,100.0,29.0,0.0,21.200000000000003,63.56888587909854,25.43066576372956,Safe,10.769230769230521,21.200000000000003,10,10,Complete
S4288,ULOWA SECONDARY SCHOOL,SHINYANGA,2025,3.2549,100.0,94.0,0.0,12.336719883889685,72.42713834015831,25.4291574672144,Safe,4.35851714876977,12.336719883889685,9,10,Complete
S4785,KIRANDO SECONDARY SCHOOL,RUKWA,2025,3.9788,92.63565891472868,258.0,0.0,44.69973890339426,40.02013199568141,25.4159612697227,Safe,0.5428703775612091,44.69973890339426,10,10,Complete
S2818,SILALODA SECONDARY SCHOOL,MANYARA,2025,2.797,100.0,35.0,0.0,4.276315789473685,80.42907888053435,25.41161840100241,Safe,2.033613445378417,4.276315789473685,10,10,Complete
