region,year,avg_gpa,total_sat,total_passed,pass_rate
MARA,2021,3.7198552763819097,22321.0,19206.0,86.04453205501545
MARA,2022,3.6347055813953486,22875.0,20015.0,87.49726775956285
MARA,2023,3.6794,23055.0,19792.0,85.84688787681631
MARA,2024,3.588209881422925,23229.0,21283.0,91.62254078953033
MARA,2025,3.5722513513513516,25823.0,23722.0,91.86384231111799
MBEYA,2016,4.048331730769231,23469.0,15899.0,67.74468447739571
MBEYA,2017,3.936971291866029,17123.0,13926.0,81.32920633066635
MBEYA,2018,3.840200952380952,18981.0,16115.0,84.90069016384805
MBEYA,2019,3.7752612440191387,21717.0,18182.0,83.72242943316296
MBEYA,2020,3.6428626168224296,21605.0,19442.0,89.9884286044897
MBEYA,2021,3.6277286363636363,24136.0,21341.0,88.41978786874378
MBEYA,2022,3.555270484581498,25742.0,23149.0,89.92696760158496
MBEYA,2023,3.4313866379310345,25512.0,23748.0,93.08560677328316
MBEYA,2024,3.3114322314049587,24185.0,23029.0,95.22017779615464
MBEYA,2025,3.2546373076923074,25235.0,24383.0,96.62373687339013
MJINI MAGHARIBI,2016,3.8297830985915495,7511.0,5763.0,76.7274663826388
MJINI MAGHARIBI,2017,3.820244736842105,8218.0,6116.0,74.42200048673642
MJINI MAGHARIBI,2018,3.84953875,8532.0,6510.0,76.30098452883263
MJINI MAGHARIBI,2019,3.8187545454545457,13255.0,9502.0,71.68615616748397
MJINI MAGHARIBI,2020,3.972307954545455,11809.0,6885.0,58.302989245490735
MJINI MAGHARIBI,2021,3.831504210526316,11751.0,7935.0,67.52616798570334
MJINI MAGHARIBI,2022,3.602170476190476,12897.0,9612.0,74.52896022330775
MJINI MAGHARIBI,2023,3.4932185185185185,11867.0,10299.0,86.7868880087638
MJINI MAGHARIBI,2024,3.45092,13293.0,10768.0,81.0050402467464
MJINI MAGHARIBI,2025,3.3274008196721314,10396.0,9423.0,90.64063101192767
MOROGORO,2016,4.12488407079646,17926.0,10722.0,59.81256275800513
